Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location
Ginger,Anti-inflammatory Properties,"1 tbsp, grated",Southeast Asia,4,0.1,0.2,0.7,14840,"[-8.7287308, 115.2365646]"
Olive Oil,Rich in Monounsaturated Fats,1 tbsp,Mediterranean Region,119,0.0,0.0,0.0,1150,"[37.208647299999996, 30.692069903552955]"
Beets,High in Nitrates,"1 cup, raw",Mediterranean Region,58,2.2,3.8,6.7,1776,"[37.208647299999996, 30.692069903552955]"
Sardines,Rich in Omega-3 and Vitamin D,"3.75 oz, canned",Mediterranean Sea,191,22.7,0.0,0.0,1328,"[35.0000035, 19.9999957]"
Mushrooms,Good Source of Selenium,"1 cup, raw",Worldwide,15,2.2,1.0,2.8,692,"[53.45733965, -2.226958805052226]"
Tomatoes,High in Lycopene,1 medium,South America,22,1.1,1.5,15.6,1595,"[-21.0002179, -61.0006565]"
Oats,Rich in Beta-Glucan,"1 cup, cooked",Europe,166,5.9,4.0,0.0,1606,"[51.0, 10.0]"
Flaxseeds,High in Lignans,"1 tbsp, ground",Middle East,37,1.3,1.9,0.1,8983,"[39.3014159, -76.5888477]"
Brussels Sprouts,High in Vitamin K,"1 cup, cooked",Ancient Rome,56,4.0,4.1,96.7,980,"[49.81954, 73.0514492]"
Pumpkin Seeds,Rich in Magnesium,1 oz,North America,151,7.0,1.7,0.5,2500,"[51.0000002, -109.0]"
Black Beans,High in Fiber and Protein,"1 cup, cooked",South America,227,15.2,15.0,0.0,8494,"[-21.0002179, -61.0006565]"
Green Peas,Good Source of Vitamin K,"1 cup, cooked",Mediterranean Region,134,8.6,8.8,13.7,1754,"[37.208647299999996, 30.692069903552955]"
Asparagus,High in Folate,"1 cup, cooked",Eastern Mediterranean,27,2.9,2.8,12.3,2021,"[14.5661409, 120.9864569]"
Blackberries,Rich in Antioxidants,1 cup,Worldwide,62,2.0,7.6,30.2,5905,"[53.45733965, -2.226958805052226]"
Wild Rice,High in Protein and Fiber,"1 cup, cooked",North America,166,6.5,3.0,0.0,1506,"[51.0000002, -109.0]"
Seaweed,Rich in Iodine,"1 sheet, nori",Japan,1,0.1,0.3,0.7,3300,"[36.5748441, 139.2394179]"
Cauliflower,"Low in Calories, High in Nutrients","1 cup, raw",Cyprus,25,2.0,2.5,48.2,1058,"[34.9174159, 32.889902651331866]"
Coconut Oil,Contains Medium-Chain Triglycerides,1 tbsp,Southeast Asia,121,0.0,0.0,0.0,0,"[-8.7287308, 115.2365646]"
Red Bell Peppers,High in Vitamin C,"1 cup, chopped",Central/South America,46,1.5,3.1,190.0,1558,"[34.09198895, -117.55989250767249]"
Watercress,High in Vitamin K,"1 cup, chopped",Europe,4,0.8,0.2,14.6,1785,"[51.0, 10.0]"
Artichokes,High in Fiber,1 medium,Mediterranean Region,60,4.2,6.9,8.9,9416,"[37.208647299999996, 30.692069903552955]"
Cherries,Contains Melatonin,"1 cup, with pits",Asia Minor,97,1.6,3.2,10.8,3747,"[38.9519465, 35.501258483407554]"
Mango,High in Vitamin A,"1 cup, sliced",South Asia,99,1.4,2.6,60.1,1300,"[1.3019037500000001, 103.77750578747182]"
Pistachios,Good Source of Vitamin B6,1 oz (49 kernels),Central Asia,159,5.7,3.0,0.7,7675,"[39.4009215, 72.8676621]"
Kiwi,High in Vitamin C,1 medium,China,42,0.8,2.1,64.0,1210,"[35.0000663, 104.999955]"
Oranges,Rich in Vitamin C,1 medium,Southeast Asia,62,1.2,3.1,69.7,1819,"[-8.7287308, 115.2365646]"
Chickpeas,High in Protein and Fiber,"1 cup, cooked",Middle East,269,14.5,12.5,2.1,1283,"[39.3014159, -76.5888477]"
Papaya,Contains Papain Enzyme,"1 cup, cubed",Central America,62,0.9,2.5,168.0,1532,"[-30.29284845, 153.12561585745573]"
Cabbage,"Low in Calories, High in Vitamin K","1 cup, chopped",Europe,22,1.1,2.2,36.6,508,"[51.0, 10.0]"
Brazil Nuts,High in Selenium,1 oz (6-8 nuts),South America,186,4.1,2.1,0.2,1419,"[-21.0002179, -61.0006565]"
Cantaloupe,High in Vitamin A,"1 cup, cubed",Middle East/Africa,54,1.3,1.4,59.4,270,"[43.6474042, 7.119161818751147]"
Edamame,Good Source of Plant-Based Protein,"1 cup, shelled",East Asia,188,18.4,8.0,6.1,1510,"[-6.1951151, 106.69858181396745]"
Apples,Rich in Quercetin,1 medium,Central Asia,95,0.5,4.4,8.4,3049,"[39.4009215, 72.8676621]"
Brown Rice,Good Source of Manganese,"1 cup, cooked",Asia,216,5.0,3.5,0.0,1523,"[51.2086975, 89.2343748]"
Figs,High in Calcium,1 medium,Western Asia,37,0.4,1.4,1.2,521,"[9.6021766, 122.4670994]"
Turnips,"Low in Calories, High in Vitamin C","1 cup, cubed",Europe/West Asia,36,1.1,2.3,27.3,575,"[90, 0]"
Hemp Seeds,Good Balance of Omega-3 and Omega-6,3 tbsp,Central Asia,166,9.5,1.2,0.1,6000,"[39.4009215, 72.8676621]"
Butternut Squash,High in Vitamin A,"1 cup, cubed",North America,63,1.4,2.8,31.0,1144,"[51.0000002, -109.0]"
Red Grapes,Contains Resveratrol,1 cup,Mediterranean Region,104,1.1,1.4,3.2,1789,"[37.208647299999996, 30.692069903552955]"
Pineapple,Contains Bromelain,"1 cup, chunks",South America,82,0.9,2.3,78.9,385,"[-21.0002179, -61.0006565]"
Collard Greens,High in Vitamin K,"1 cup, chopped",Ancient Greece,11,1.1,1.4,12.7,1067,"[37.771366099999995, 21.7434170878197]"
Sunflower Seeds,High in Vitamin E,1 oz,North America,164,5.8,2.4,0.7,6372,"[51.0000002, -109.0]"
Raspberries,High in Ellagic Acid,1 cup,Northern Europe/Asia,64,1.5,8.0,32.2,4882,"[16.853218, 96.117122]"
Clams,High in Vitamin B12,3 oz,Worldwide,126,22.0,0.0,22.1,7980,"[53.45733965, -2.226958805052226]"
Grapefruit,"Low in Calories, High in Vitamin C",1/2 medium,Caribbean,52,0.9,2.0,88.1,1548,"[18.4, -75.0]"
Kidney Beans,High in Molybdenum,"1 cup, cooked",Central America,225,15.3,11.3,4.1,8606,"[-30.29284845, 153.12561585745573]"
Lemons,High in Vitamin C,1 medium,Southeast Asia,17,0.6,1.6,30.7,1225,"[-8.7287308, 115.2365646]"
Arugula,Good Source of Nitrates,2 cups,Mediterranean Region,10,1.2,0.8,5.4,1904,"[37.208647299999996, 30.692069903552955]"
Onions,Contains Quercetin,"1 cup, chopped",Central Asia,64,1.8,2.9,11.8,913,"[39.4009215, 72.8676621]"
Zucchini,"Low in Calories, High in Vitamin C","1 cup, sliced",Central America,19,1.4,1.1,22.2,180,"[-30.29284845, 153.12561585745573]"
Mackerel,Rich in Omega-3 Fatty Acids,"3 oz, cooked",Worldwide,231,20.8,0.0,0.0,393,"[53.45733965, -2.226958805052226]"
Acai Berries,High in Anthocyanins,"100g, pulp",South America,70,1.0,2.0,0.0,15405,"[-21.0002179, -61.0006565]"
Cucumber,"Low in Calories, High in Water Content","1 cup, sliced",India,16,0.7,0.5,2.9,140,"[22.3511148, 78.6677428]"
Peanuts,Good Source of Biotin,1 oz,South America,161,7.3,2.4,0.0,1393,"[-21.0002179, -61.0006565]"
Eggplant,"Low in Calories, High in Fiber","1 cup, cubed",India,20,0.8,2.5,1.8,980,"[22.3511148, 78.6677428]"
Parsley,High in Vitamin K,"1/4 cup, chopped",Mediterranean Region,4,0.3,0.4,13.3,1301,"[37.208647299999996, 30.692069903552955]"
Cayenne Pepper,Contains Capsaicin,"1 tsp, ground",South America,6,0.3,0.6,1.6,50314,"[-21.0002179, -61.0006565]"
Watermelon,High in Lycopene,"1 cup, diced",Africa,46,0.9,0.6,12.3,182,"[11.5024338, 17.7578122]"
Radishes,"Low in Calories, High in Vitamin C","1 cup, sliced",Southeast Asia,19,0.8,1.9,17.2,387,"[-8.7287308, 115.2365646]"
Bok Choy,High in Vitamin A and C,"1 cup, shredded",China,9,1.1,1.0,45.2,1511,"[35.0000663, 104.999955]"
Tuna,High in Protein and Omega-3,"3 oz, canned in water",Worldwide,99,22.0,0.0,0.0,415,"[53.45733965, -2.226958805052226]"
Crimini Mushrooms,Good Source of Selenium,"1 cup, sliced",Europe/North America,19,2.9,0.7,2.1,885,"[43.7289157, -73.8100572]"
Cranberries,High in Proanthocyanidins,"1 cup, whole",North America,46,0.4,3.6,13.3,9584,"[51.0000002, -109.0]"
Tahini,Good Source of Calcium,1 tbsp,Middle East,89,2.6,1.4,0.0,276,"[39.3014159, -76.5888477]"
Cinnamon,May Help Lower Blood Sugar,"1 tsp, ground",Sri Lanka,6,0.1,1.4,0.1,131420,"[7.5554942, 80.7137847]"
Miso,Rich in Probiotics,1 tbsp,Japan,34,2.2,0.8,0.1,1125,"[36.5748441, 139.2394179]"
Mustard Greens,High in Vitamin K,"1 cup, chopped",India,15,1.6,1.8,39.3,3024,"[22.3511148, 78.6677428]"
Celery,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,16,0.7,1.6,3.1,670,"[37.208647299999996, 30.692069903552955]"
Endive,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,8,0.5,1.6,2.1,1052,"[37.208647299999996, 30.692069903552955]"
Kohlrabi,Good Source of Vitamin C,"1 cup, sliced",Northern Europe,36,2.3,4.9,83.7,944,"[53.862757099999996, 27.537137224037828]"
Natto,High in Vitamin K2,1/4 cup,Japan,100,8.4,2.8,13.0,6680,"[36.5748441, 139.2394179]"
Sauerkraut,Rich in Probiotics,1/2 cup,China,13,0.7,2.9,14.7,705,"[35.0000663, 104.999955]"
Tempeh,High in Protein and Probiotics,3 oz,Indonesia,162,17.0,3.5,0.0,1800,"[-2.4833826, 117.8902853]"
Swiss Chard,High in Vitamins A and K,"1 cup, chopped",Mediterranean Region,7,0.6,0.6,10.8,1770,"[37.208647299999996, 30.692069903552955]"
Nutritional Yeast,Good Source of B Vitamins,1 tbsp,Worldwide,20,3.0,1.0,0.0,790,"[53.45733965, -2.226958805052226]"
Pomelo,High in Vitamin C,"1 cup, sections",Southeast Asia,72,1.4,2.4,115.3,1548,"[-8.7287308, 115.2365646]"
Radicchio,"Low in Calories, High in Vitamin K","1 cup, shredded",Italy,9,0.6,0.4,2.6,1016,"[42.6384261, 12.674297]"
Jicama,Good Source of Vitamin C,"1 cup, sliced",Mexico,46,0.9,6.4,20.2,406,"[19.4326296, -99.1331785]"
Wakame Seaweed,High in Fucoxanthin,"1 cup, raw",Japan,5,0.3,0.4,3.0,2115,"[36.5748441, 139.2394179]"
Dragon Fruit,Good Source of Antioxidants,"1 cup, cubed",Central/South America,136,2.9,7.0,9.0,2551,"[34.09198895, -117.55989250767249]"
